cell_type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50
CD14 Monocytes	-1.113274	-4.477959	-0.757183	5.059131	0.196179	-1.733977	0.650691	-0.054235	0.416011	0.366893	-0.797338	-0.928764	-1.516504	0.837050	1.994655	1.499340	-0.383440	0.159535	2.250392	-1.134937	-0.531506	0.301589	0.644368	-1.134027	0.739745	0.422618	0.415745	2.899244	0.093472	-0.100019	0.876059	0.780306	-0.522662	-0.608220	-0.202731	-1.059152	-2.652822	-2.630794	1.477147	1.589191	0.754307	-0.857509	0.609510	0.461408	-0.834189	0.570855	0.036473	-0.277351	2.430201	0.434506
CD4 T	-4.157090	-3.280399	0.093412	-2.946166	4.053500	1.961601	-0.236312	1.296235	-0.389433	-0.215271	0.206177	-3.143120	0.174348	-0.411976	-0.291941	-0.740403	-0.219373	0.524755	1.114891	-0.961074	0.187206	-0.535114	-0.770040	0.049633	-0.615565	1.311700	-1.052502	0.059464	-0.061664	-0.466727	-1.402993	-1.026532	0.944033	2.025482	1.370702	0.700625	-1.505133	0.158394	0.626228	1.011281	0.012845	-0.618583	-0.373072	-0.737051	1.247434	-1.708756	-0.339983	0.430038	-0.371606	0.621414
CD4 T	-3.337741	-0.200242	-0.333639	-2.640154	-1.170671	-0.804976	-1.535482	-0.506267	-0.172029	0.096192	0.545473	-0.198252	-0.382405	2.440125	-1.437319	-2.859305	-1.231213	-0.350314	-3.298127	-2.107845	-2.426523	-1.567742	-1.189323	1.838944	-0.720448	-1.206188	-1.927418	1.164336	-1.397419	-0.939751	-0.140699	-1.665418	0.629017	-1.094753	-0.655839	1.756500	-1.819488	-0.858664	0.718358	0.845267	-0.978292	1.917127	-2.117295	-1.452662	-1.526796	-1.387510	-0.388509	-0.447051	-1.425373	-0.694270
B cells	6.754442	2.774978	3.433093	0.244798	-5.079112	5.452403	0.346086	2.933785	6.612349	-1.671224	-1.316701	-1.611824	-0.175649	-0.017367	1.520033	-0.175171	-1.242121	1.560617	-1.312243	0.811590	2.144150	0.522420	-4.564842	2.504898	-0.680109	-1.486256	1.008668	0.007755	0.512822	0.566394	-2.428939	-0.210591	-0.876675	-0.466821	-0.824334	-1.246246	-0.929701	2.172771	1.177484	-0.216089	-2.098035	0.939687	0.982676	-2.322528	-0.458965	-1.774465	-0.825145	1.700074	-0.049700	-0.492352
CD4 T	-3.902134	-1.155449	-0.519257	-3.368033	-2.230288	-0.241154	-1.946232	-0.430807	-0.052390	2.994565	0.747013	-0.508339	-4.764812	1.254735	-0.099600	-1.209038	-0.872094	2.441453	-2.191732	-0.053068	3.916067	-3.187176	-0.283421	1.065400	1.103094	1.749674	0.736437	-1.036133	0.853823	-0.485176	1.357633	-3.052273	0.968935	1.354939	-3.514915	-0.366564	-2.148684	0.581520	1.327605	0.735307	2.143797	-0.767085	-1.094378	-1.858799	0.317715	2.713423	-2.521600	-0.387800	0.890929	0.248971
CD4 T	-2.282121	2.035857	-0.793023	-2.206521	-5.528020	-0.348651	-1.381407	-5.227710	-5.324584	8.595773	-5.835568	3.781931	3.257087	5.116962	0.778947	2.016002	-3.835525	0.764941	-1.026065	4.600826	-1.380446	0.633277	-2.174801	-0.827157	1.462517	-1.729918	0.597510	-2.851139	-1.034283	0.342766	0.901367	3.758379	0.156020	0.011719	-0.145216	-1.570512	1.561441	1.064406	3.711237	-3.177952	-1.543786	-2.145594	-0.288329	1.517378	-0.851483	-3.823656	1.557336	0.242097	-4.168465	-0.101443
B cells	7.698733	2.340801	-0.195425	1.131267	-5.649596	8.464488	-1.455628	-0.052585	-0.578605	-0.631029	-1.834478	0.940924	0.708890	3.035414	0.332728	1.330450	-0.287738	-1.841304	-1.181759	2.071647	-0.318171	-0.308820	0.549748	1.908016	-0.940374	1.782908	1.150991	-1.047663	-1.789319	0.636034	1.162788	-0.518767	-1.019701	-1.652100	1.065970	-4.019688	2.256176	1.796193	-0.525965	0.930954	-0.420228	0.950286	-0.982862	2.908448	-2.455741	0.977186	-1.022393	-1.133361	-0.896985	-1.382901
CD8 T	-4.144874	-0.600572	-0.167259	-2.557158	3.420586	0.492712	2.252176	1.202084	1.419622	0.815793	-0.518942	0.134751	-1.594221	-0.176661	1.553716	0.127818	-0.199514	-0.323296	1.687966	0.898917	-0.561850	0.491363	-0.803848	0.945633	1.630942	-0.949042	0.294797	-0.116806	1.417075	1.866826	-0.377236	0.622714	-1.224883	-0.670949	1.713893	-1.169873	-0.238058	-1.126565	-0.892011	-0.737880	-1.004135	-3.024544	0.768423	-1.184807	-0.971588	0.705160	-1.074159	0.951641	1.341872	-0.431109
CD14 Monocytes	-3.425346	-8.297516	-0.672616	7.101640	5.027968	1.204167	-0.839795	-1.521686	0.438711	-0.787469	1.470703	3.038938	0.319790	0.170594	1.240457	2.015898	-1.543985	-1.883255	-2.014276	-2.121992	-0.915654	2.403545	-0.450767	3.423116	-1.982756	0.543268	0.403903	-1.519991	-2.815419	-2.300029	-3.225458	1.876715	1.229009	0.324794	-1.867298	-0.205447	-2.822300	-1.034154	-0.391128	-2.757572	2.014575	-2.004175	2.303419	-0.220380	-1.317981	0.085910	-0.478714	-2.414988	-2.465109	-1.001057
B cells	9.959743	-0.826002	-1.271612	-1.912578	2.112956	1.172163	-0.665230	-0.981415	0.392529	1.190724	1.162284	-2.909764	0.215004	-3.222689	-2.419992	-0.074392	-0.031270	-0.922967	-2.431096	-0.198311	-0.075500	1.353722	0.270145	1.620651	-1.939174	0.133782	-1.597497	-1.089338	-1.459616	-0.106319	-1.158759	0.640289	-1.601811	0.792834	-0.429803	-0.836535	1.720281	-0.177053	1.159642	0.669359	-0.224984	-1.179339	3.813199	-2.581298	-0.529750	0.276558	-1.380223	1.493605	1.085170	0.714388
CD4 T	-2.978735	0.115424	0.523018	-2.394591	-2.738641	-2.173854	0.064282	3.282703	-0.179570	-1.279832	0.690636	1.859422	0.824809	-0.728392	0.535449	-2.674409	-2.256815	0.281073	4.236075	0.531363	2.173424	-1.174077	2.177895	2.235146	-2.334745	0.088258	-1.709370	-2.975256	2.516068	0.579601	1.917069	-0.307993	0.337148	-1.137393	-2.082057	2.206207	1.972344	-0.408428	-0.853800	0.474557	-1.238209	-2.095970	2.168270	2.015517	-0.361898	-1.557455	3.919201	-2.465601	0.985784	-1.188169
B cells	12.755328	0.866286	0.257858	-0.829053	-0.085173	0.047530	-0.968627	-1.033423	1.126464	0.738824	0.880416	-2.231363	-0.432390	-2.396784	1.476086	0.107360	-0.035113	-0.446832	-2.976606	-1.360164	2.094340	2.028015	-0.758967	-0.624493	0.681052	1.224172	-0.974406	-0.550317	-2.311445	-1.033933	-1.592538	-1.132514	0.081924	1.851783	1.182730	-1.018425	0.726453	0.215298	-1.771946	-1.920111	0.564176	-1.582739	0.331885	-0.796300	-0.113929	-0.446600	0.179801	-0.301764	-1.423811	0.487893
CD4 T	-3.395984	-1.657256	1.000469	-2.354601	2.158295	0.852732	1.308310	-0.798464	1.657807	-0.753781	1.117442	0.490290	1.267725	0.549937	-0.365191	0.623563	0.575038	2.012527	0.640441	1.023710	-0.232839	-0.517383	-0.349055	0.510876	0.964516	-1.804976	1.273795	2.506887	-0.422097	0.140810	1.534215	-0.176446	1.069497	0.371483	-0.130078	0.091577	-0.057034	0.912503	-0.816718	1.685596	0.350034	-1.447958	-0.915509	1.180123	-0.141231	-1.250800	2.226078	-0.918890	-0.167879	-0.969972
B cells	9.334907	0.327902	-0.183202	-1.373819	3.219702	-0.588778	-1.353853	-1.376280	-0.286074	1.012676	-3.472663	-0.292349	1.346330	0.770425	0.809328	-1.350295	1.234093	-0.467826	-1.051881	-2.707248	0.644710	-3.099854	1.099724	1.204409	0.764531	0.542420	0.425620	0.133982	-0.940685	1.625910	0.800480	1.883461	1.162167	-1.665993	4.425787	0.239960	-0.250518	0.910098	0.398608	1.470625	2.516140	0.831789	-1.566743	0.454299	-0.146707	0.874153	2.986827	0.576837	-0.029086	1.648069
B cells	9.943705	1.522019	-1.332571	-0.640088	-2.083852	6.719602	0.982402	0.053614	1.493647	0.006399	0.317574	1.293254	-0.348062	-0.666177	1.436892	0.429367	-0.229749	-1.774657	-1.328568	-0.236030	-0.502542	1.767029	0.265677	1.106409	0.157237	-0.849263	-1.865698	-1.228913	0.534716	0.070095	-0.215353	0.121363	0.837618	0.675511	-0.239313	-1.123334	1.096085	-1.043608	-0.708883	-1.668285	3.799715	-0.612864	0.765650	1.399205	0.321314	-0.944032	-2.594300	0.903127	0.262850	2.533578
CD4 T	-3.605576	-1.174141	0.086221	-2.017969	-0.227824	0.488817	-0.596215	2.194323	-0.887636	0.332577	2.047132	0.461866	-2.208418	2.687222	-0.363062	-0.510356	-3.618278	2.090033	0.017565	-0.900360	-0.167344	-1.349902	-1.523285	0.343287	-1.512298	1.396019	-0.822964	-1.780826	-0.641826	-2.028476	-0.212496	0.150849	1.183735	0.674217	-0.614049	-0.046449	-1.944154	1.706597	1.157173	0.575716	-0.912331	0.538777	1.253207	1.303365	-0.406543	1.715161	2.561125	0.386214	-1.123809	0.291237
CD8 T	-2.735135	7.191356	-0.409498	3.531257	0.635973	-2.379525	2.986936	-5.817017	5.332145	4.167531	4.688460	2.823995	-0.863950	0.773450	4.384100	-2.735246	2.366739	-4.202564	2.143620	0.366540	-0.962206	2.312783	3.120496	-1.686981	-0.796940	0.238714	2.780474	-1.450297	-2.036450	-0.725372	-3.142211	-1.742269	3.140962	1.117833	0.194398	1.663964	-1.901159	-0.379731	-0.444301	3.591183	-3.570116	0.113818	-1.093626	-0.368796	-1.690675	1.211655	-2.568280	-0.722041	-0.504645	-1.044956
CD8 T	-3.590167	2.664336	0.434145	-1.340831	-0.729968	-0.830883	4.768775	-0.663848	-1.067425	1.503702	1.354998	-2.138214	-0.542614	-0.546608	-2.812505	0.412545	0.937848	1.963821	0.497005	-1.894090	-3.218706	-0.326389	1.021037	0.909789	-0.518567	-2.444295	0.283104	-0.340302	-0.026428	-1.779644	-0.044679	-0.688367	-2.335784	1.095370	-1.179774	1.614173	-1.511267	-0.945467	3.361610	-0.141583	-3.834524	0.417543	2.542168	3.367307	-1.431697	-0.050861	0.524894	0.670238	-0.652673	0.497006
CD4 T	-3.869318	1.711430	0.656776	-2.180597	-1.204476	-0.896842	2.095213	-0.375483	-0.680593	2.490356	-0.915951	1.123034	1.093874	-0.278445	-0.468186	2.239148	-0.229702	-1.035330	-1.483661	-1.770934	0.476324	0.945166	-0.376782	-1.858035	-0.757187	0.494400	2.882771	0.234390	1.650181	-0.109215	1.153453	-0.423435	0.050104	-0.478364	1.047127	1.309608	0.405560	0.182328	-1.192946	0.401601	-1.596087	0.360717	-0.014303	-1.246121	1.578094	0.105542	1.057936	-1.752087	-1.646329	0.345327
CD4 T	-3.053148	-2.205314	0.561741	-2.949522	0.873984	0.881601	-0.365075	0.743203	0.284051	-2.169265	-2.051305	-1.426834	1.341006	0.791236	0.503620	-2.118549	0.041263	0.553842	1.090426	-1.052537	-2.827593	0.227849	0.516945	-0.968654	0.468947	0.008575	0.711601	2.180852	1.336200	1.688288	-0.350874	-0.305547	0.860006	-0.676402	1.334202	0.261569	-0.436100	0.883120	-1.012657	-1.150468	0.529506	0.520499	0.293450	-0.243569	-3.195430	-1.624477	0.470412	-0.506389	-0.762490	-0.984201
CD4 T	-3.776935	-0.788104	0.042401	-2.865690	-0.628125	-0.392734	-1.951382	-0.067470	0.456661	1.177433	1.354045	-0.403969	-0.279697	-1.205207	-0.551943	-1.046963	0.397244	-1.240627	-0.904996	-0.978781	1.819278	-1.840314	0.516200	1.494125	-1.739876	-0.854382	-0.167605	-1.765157	0.418536	-1.231801	-2.920454	-0.459336	0.427761	0.479150	-1.032227	2.493782	-1.849191	-3.103295	-0.750514	0.995556	-0.216060	-0.151905	-0.556839	-0.719494	-2.872763	0.968314	-1.215710	0.231567	-1.914088	1.038100
CD4 T	-4.482747	-0.791094	1.478065	-3.155894	-0.998258	1.054875	-2.420991	-1.508439	1.072140	0.885943	-1.811506	-1.322184	0.083846	-2.686365	-0.164144	1.951115	2.010912	0.718304	-1.021971	-1.987040	2.702596	-0.380687	-0.359794	2.600823	0.592187	-0.647285	0.524153	0.084500	0.562982	0.199048	0.006233	-0.071394	0.336177	-1.381273	1.752560	-0.847907	0.244089	0.382377	1.253907	-1.365420	0.806072	-2.675480	0.679493	0.726830	-1.632593	-0.965904	-1.169282	3.715481	0.901028	0.442425
CD4 T	-2.362527	-0.611083	-0.116241	-1.024878	-0.842517	1.219942	0.030670	-1.541480	0.617030	-3.172125	-1.476542	1.348518	-0.169996	0.862592	-0.305128	2.131650	2.599506	-2.443282	-0.782595	-2.041876	-0.475387	1.878076	0.416398	-2.482223	-1.245863	2.019908	-0.022520	-1.317126	0.675471	-2.126373	-1.032680	-0.942569	-0.333920	0.357971	1.251218	-2.878320	0.128535	-1.575070	1.211284	1.068267	-2.757852	1.905812	-2.687148	-0.093090	-0.348520	-2.144583	-2.264493	-1.001405	1.032892	-0.616708
CD4 T	-4.250922	-1.895069	1.351231	-3.659280	0.851950	-0.391901	-1.738240	-0.118752	0.756306	1.558637	1.933859	-0.042032	0.298851	-3.036289	-3.527444	-1.852577	0.043460	0.163732	0.009329	-0.790309	1.576399	0.576466	0.691256	-1.956556	-1.132195	0.332216	-0.106781	0.362884	1.890681	-1.605136	0.821994	0.670850	0.543785	1.113226	-0.527080	-0.030863	-2.043136	-0.191583	1.807574	-0.896322	1.404182	1.601699	0.349147	1.565065	0.268949	1.237890	0.998735	0.109180	0.692759	2.051275
B cells	11.024086	0.344895	-0.937828	-2.072509	1.072374	0.799928	0.840587	-0.959654	1.290396	-0.112719	0.573728	-0.902668	0.780643	-2.383592	0.447315	1.691351	-0.248325	-1.335085	-2.515203	-0.816522	-0.635992	1.086403	1.002624	-1.211924	0.329468	-1.133685	-0.878638	-1.459898	-0.259179	-0.622353	0.951336	-2.432027	-0.340802	-0.950862	-0.607528	0.271539	-0.065971	0.148409	1.408815	3.484909	1.282574	-2.240928	-0.408453	-0.086112	-1.091312	-0.435127	1.176250	0.269118	-0.019523	-0.488510
